CAD_ID,count
202000370679,2
202000372897,2
202000244075,2
202000365049,2
202000244425,2
202000362151,2
202000361036,2
202000360698,2
202000359819,2
202000269114,2
202000245770,2
202000246085,2
202000373570,2
202000268864,2
202000245918,2
202200292425,1
202200294165,1
202200294170,1
202200294207,1
202200294623,1
202200295133,1
202200295164,1
202200295169,1
202200295402,1
202200282804,1
202200291904,1
202200291409,1
202200289613,1
202200289209,1
202200289032,1
202200289028,1
202200287738,1
202200287287,1
202200286785,1
202200285456,1
202200284482,1
202200282863,1
202200295683,1
202200305647,1
202200305666,1
202200306054,1
202200306061,1
202200306215,1
202200306344,1
202200306594,1
202200306603,1
202200296082,1
202200306658,1
202200307981,1
202200308123,1
202200308158,1
202200308213,1
202200308224,1
202200309375,1
202200311446,1
202200312830,1
202200306604,1
202200296092,1
202200296600,1
202200296601,1
202200296765,1
202200296818,1
202200297027,1
202200297159,1
202200297995,1
202200300058,1
202200305419,1
202200302134,1
202200302927,1
202200302946,1
202200303030,1
202200303470,1
202200303963,1
202200304179,1
202200304269,1
202200305253,1
202200301279,1
202200248021,1
202200247786,1
202200247670,1
202200247539,1
202200246359,1
202200246081,1
202200245985,1
202200245947,1
202200245385,1
202200244299,1
202200243909,1
202200243696,1
202200242891,1
202200241838,1
202200241542,1
202200268370,1
202200237597,1
202200236542,1
202200233999,1
202200233971,1
202200232918,1
202200232874,1
202200232674,1
202200232621,1
202200231614,1
202200231294,1
202200230011,1
202200230009,1
202200229321,1
202200228467,1
202200227598,1
202200239813,1
202200280547,1
202200269970,1
202200269947,1
202200268723,1
202200268458,1
202200313136,1
202200268207,1
202200267857,1
202200266709,1
202200263104,1
202200261982,1
202200261108,1
202200260528,1
202200260489,1
202200259265,1
202200248063,1
202200255864,1
202200255298,1
202200255279,1
202200254363,1
202200253196,1
202200253194,1
202200253028,1
202200252462,1
202200252157,1
202200251388,1
202200251315,1
202200251260,1
202200250718,1
202200249433,1
202200248393,1
202200256578,1
202200371581,1
202200370473,1
202200369854,1
202200367635,1
202200367427,1
202200366631,1
202200365873,1
202200365871,1
202200365787,1
202200365744,1
202200365592,1
202200365469,1
202200364536,1
202200361582,1
202200361160,1
202200315984,1
202200351019,1
202200352040,1
202200352480,1
202200354083,1
202200354664,1
202200355028,1
202200355823,1
202200360274,1
202200356695,1
202200356696,1
